Judul,URL,Bahan,Langkah
Mie Instant Goreng,https://cookpad.com/id/resep/16031068-mie-instant-goreng,1 bungkus mie Jiwa Pagi; 2 batang sawi; Bawang goreng; Irisan tomat; Telur asin,"1
    



Rebus mie dalam air mendidih | 2
    



Masak selama 5 menit lalu tiriskan | 3
    



Tuang bumbu pada piring | 4
    



Masukkan mie pada piring, aduk hingga bumbu tercampur merata | 5
    



Tambahkan topping sesuai keinginan dan sajikan"
Fillet Dada Ayam Bumbu Kemangi Sehat,https://cookpad.com/id/resep/13411146-fillet-dada-ayam-bumbu-kemangi-sehat,"300 gr fillet dada ayam, potong dadu; 1 papan tempe, potong korek api (boleh skip); 1 ruas jahe, geprek; 1 ruas laos/lengkuas, geprek; 2 lembar daun salam; 3 batang daun bawang, potong; sesuai selera Kemangi; BUMBU HALUS -; 2 siung bawang putih; 3 siung bawang merah; 3 buah cabe merah besar; Secukupnya cabe rawit; 1 sdt kunyit bubuk; secukupnya Gula, garam; secukupnya Air","1
    



Tumis bumbu halus tanpa minyak boleh juga dengan minyak. Tambahkan 250ml air. Tunggu hingga mendidih lalu masukan lengkuas, jahe dan daun salam. | 2
    



Masukan dada ayam yang sudah dipotong dadu dan juga tempe. Tambahkan gula dan garam secukupnya.. Aduk hingga merata tunggu bumbu meresap | 3
    



Masukan kemangi. Aduk lagi hingga merata.. Koreksi rasa. Terakhir masukan daun bawangnya | 4
    



Sajikan. Selamat mencoba 😍"
Dada ayam anak fitnes/gym,https://cookpad.com/id/resep/14817309-dada-ayam-anak-fitnesgym,300 gr dada ayam mentah; 1 sdt garam halus; 2 sdt paprika bubuk; 2 sdt bawang putih bubuk; 2 sdt kecap manis; 1 sdt saori saus tiram; 2 sdt cabe merah giling (opsional),"1
    



Potong dada ayam sedikit tipis,basuh dan masuk kan ke baskom kecil | 2
    



Masukkan semua bahan2 tadi kedalam baskom | 3
    



Cuci tangan hingga bersih lalu aduk semua bahan didalam baskom,disarankan pake tangan agar bumbu2 meresap rata | 4
    



Ini opsional,jadi boleh di marinasi 20 menit,atau langsung di masak,saya marinasi 20 menit agar bumbu meresap | 5
    



Panaskan minyak olive oil (opsional) gunakan minyak sedikit hanya untuk membasahi teflon,ingat ""hanya untuk membasahi teflon"" agar kalori tidak banyak,lalu masuk kan ayam yg sudah di aduk tadi dengan api kecil,perhatikan api nya,saya lebih suka masak nya lama tapi daging nya enak dan lembut daripada api besar,bolak balik tiap beberapa menit | 6
    



Ketika ayam sudah berubah warna/masak seperti di foto,angkat lalu diamkan beberapa menit sebelum di makan."
#126 Roti Gandum Telur Omega,https://cookpad.com/id/resep/14161250-126-roti-gandum-telur-omega,"1 lbr roti gandum; 1 buah alpukat; 1 butir telur omega, rebus; Buah Strawberry; Buah Kiwi","1
    



Bakar roti gandum di atas teflon. | 2
    



Olesi roti gandum dengan alpukat yang telah dihaluskan. Beri potongan strawberry dan buah kiwi serta telur rebus. Boleh juga menambahkan cokelat/madu/nutella kalau ingin sedikit manis. | 3
    



Beri taburan wijen. Boleh menggunakan chia seed, bebas."
Pindang Patin Khas Palembang,https://cookpad.com/id/resep/16088244-pindang-patin-khas-palembang,"1 ekor ikan patin; 1 ikat daun kemangi; 1 buah tomat merah; 1 sdm asam jawa rendam air panas; 4 buah belimbing wuluh potong-potong; 1 daun bawang; Secukupnya cabe rawit merah; Bumbu halus:; 8 siung bawang merah; 5 siung bawang putih; 4 butir kemiri; 1 ruas kunyit; 1 ruas jahe; Bumbu cemplung :; 2 lembar daun salam; 2 lembar daun jeruk; 1 batang sereh; 1 iris lengkuas; Secukupnya air (sesuai selera, saya tuang agak banyak); secukupnya Garam, lada, kaldu","1
    



Tumis bumbu halus beserta daun salam daun jeruk lengkuas sereh hingga wangi dan matang. | 2
    



Tuang air, tunggu hingga mendidih. Masukan ikan patin. Masukan garam, lada, kaldu bubuk, dan air asam. | 3
    



Tambahkan tomat, belimbing wuluh dan kemangi. Aduk rata dan tes rasa. | 4
    



Terakhir masukan daun bawang dan cabe. Sajikan."
Buko Pandan Low Calorie (aman banget buat diet),https://cookpad.com/id/resep/14664523-buko-pandan-low-calorie-aman-banget-buat-diet,1 bungkus nutrijell kopyor; 3 sachet diabetamil 0 kalori; Kelapa muda (ambil dagingnya saja); 2 susu frisian flag french vanilla low calorie; 4 sdt fiber creme; pasta pandan,"1
    



Campur nutrijell + 2 sachet diabetemil + pasta pandan..(jika ingin lebih manis diabetamilnya bisa ditambah)... | 2
    



Masukkan air 400 ml (sesuai selera aja) masak hingga mendidih..masukkan cetakan, dinginkan, setelah dingin potong2 berbentuk kotak2 | 3
    



Campurkan susu, kelapa, fiber creme yang sudah dilarutkan dengan sedikit air, pasta pandan, masukkan 1 sachet diabetamil,. aduk hingga rata | 4
    



Masukkan nutrijel yang telah dipotong2...masukkan kulkas dulu biar dingin segerrrr😁😁 | 5
    



Bisa dikasih toping keju ya kak...biar tambah creamy boleh dikasih chia seed jg biar endess😁"
Keto Low Calorie Strawberry Cheese Tarts Sugar & Gluten Free #Ketopad,https://cookpad.com/id/resep/16949669-keto-low-calorie-strawberry-cheese-tarts-sugar-gluten-free-ketopad,"Bahan Yogurt Mix Crust; 120 gram tepung almond; 30 gram tepung kelapa; 50 gram Erythritol; 40 gram butter/margarine (me : BlueBand); 50 gram Greek Yogurt (me : Biokul); 1 butir telur kocok lepas; 1 sdt essence butter cookie/vanilla; Bahan Yogurt Mix Filling; 200 gram Cream Cheese (me : Anchor); 150 gram Greek Yogurt (me : Biokul); 100 gram Erythritol; 2 butir telur utuh; 2 sdt essence vanilla; 20 gram Dark Chocolate Compound 100% tanpa gula (me : Kampung Blitar); Secukupnya selai strawberry homemade


Keto Chia Seed Strawberry Jam Sugar & Gluten Free #Ketopad","1
    



Ini tampilan akhir cheesetart nya. Kue yang cantik ini dijamin dapat membuat ketagihan. Kombinasi rasa keju, yogurt dan strawberry yang lumer di mulut dapat dirasakan di setiap gigitannya. | 2
    



Pertama, buat kulitnya. Campurkan tepung almond, tepung kelapa, dan erythritol. Lalu masukkan mentega, yogurt, dan essence butter cookie atau vanilla. Selanjutnya, menggunakan sarung tangan, uleni adonan kering dengan yogurt dan mentega sampai menggumpal. Tambahkan telur dan uleni lagi hingga padat merata. | 3
    



Timbang total adonan kulit dan bagi menjadi 13 bagian. Saya dapat sekitar 350 gram kulit total, bagi menjadi 26-27 gram per pie. Di foto ini saya kurang 1 ya, seharusnya bisa jadi 13 pie. | 4
    



Ke dalam loyang pie (saya gunakan loyang silikon muffins diameter 7 cm atas dan 5 cm bawah), pipihkan adonan pie sampai seluruh permukaan masing-masing merata. Lalu tusuk-tusuk kulit pie dengan garpu. Masukkan kulit pie ke dalam kulkas sementara kita membuat filling di tahap selanjutnya. | 5
    



Dalam wadah besar, campurkan cream cheese, yogurt, vanilla essence, dan erythritol. Lalu mixer hingga merata. Masukkan telur satu persatu sambil dimixer hingga adonan tercampur rata. | 6
    



Berikutnya tahap ini opsional ya kalau mau buat 2 rasa. 
Setelah merata, timbang total adonan dan bagi menjadi 2 bagian. Saya dapat berat total filling 542 gram jadi saya bagi menjadi 271 gram untuk setiap rasa. | 7
    



Lelehkan cokelat 100% dengan metode di tim atau microwave selama 30 detik, lalu masukkan ke salam salah 1 adonan filling. Mixer lagi hingga merata. Sekarang kita punya 2 rasa filling ya. | 8
    



Lalu selanjutnya panggang kulit pie yang telah didinginkan dalam kulkas di oven pada suhu 160°C selama 15 menit dengan api atas dan bawah. | 9
    



Setelah matang, tuang sedikit adonan ke dalam kulit pie. Lalu masukkan 1 sdt selai strawberry homemade di atasnya. | 10
    



Berikutnya tutup lagi adonan dengan filling sampai kulit pie penuh. Adonan akan lebih cair dibandingkan cheesetart yang full cream cheese ya. Sehingga resep ini tidak memerlukan piping bag. Hias dengan taburan almond slice, dan panggang di oven pada suhu 160°C selama 45 menit dengan api atas dan bawah. 
Di foto saya kurang 1 kulit ya, jadi sisa fillingnya saya panggang begitu saja. | 11
    



Setelah matang diamkan dahulu sampai dingin. Setelah dingin, masukkan kulkas bersama dengan loyangnya ke dalam tupperware atau kotak kue. Dengan metode ini, mengeluarkan pie akan menjadi lebih mudah. | 12
    



Setelah dingin betul, keluarkan dari loyangnya dan cheese tart siap dinikmati saat dingin."
Bubur Candil Ungu,https://cookpad.com/id/resep/3163624-bubur-candil-ungu,Bahan candil/bulat ungu:; 500 gr ubi ungu; 150 gr tepung tapioka; 1 sdt garam; Secukupnya air; 1 sdm minyak saur; 1 sdt vanili bubuk; 2 lembar pandan simpulkan; Bahan kuah santan :; 2 sachet santan instan kara; Secukupnya air; 1 sdt garam; 1 sdt vanili; 2 sdm gula putih; 2 lembar pandan simpulkan; 1 sdm tepung beras larutkan dalam air,"1
    



Cuci bersih ubi ungu lalu kukus hingga empug | 2
    



Setelah empug dinginkan. Kupas kulit nya dan haluskan. | 3
    



Tuang tepung tapioka, vanili, garam, air sedikit demi sedikit. Uleni hingga kalis. | 4
    



Pulung satu per satu menjadi bulatan"" se kelereng hingga adonan habis. | 5
    



Rebus air dan masukkan bola"" ubi kedalam nya. Tambahkan minyak sayur, pandan simpul. Masak hingga semua bola terangkat (matang). Angkat dan tiriskan | 6
    



Kita bikin kuah putih santan. Masukkan santan, air, gula, garam, pandan simpul, vanili bubuk, larutan tepung beras. Lalu masak hingga mendidih. Matikan kompor. | 7
    



Siapkan mangkok saji. Tata candil (bola bola ungu) lalu tuang dengan kuah santan. Hmm.. nikmat juga bila ditambahkan Es atau boleh dimakan pas hangat sesuai selera. 😊"
Lodeh kacang panjang ikan panggang,https://cookpad.com/id/resep/24092474-lodeh-kacang-panjang-ikan-panggang,200 gr kacang panjang(potong²); ¼ bagian dr 1 papan tempe; 1 buah pepaya kecil (serut); 1 Bks bumbu racik sayur lodeh; 1 sct santan instan; 3 biji ikan asap/panggang; 700 ml air,"1
    



Siapkan bahan | 2
    



Didihkan air ke panci lalu masukkan bahan² yg sudah siap | 3
    



Masukkan bumbu racik, kemudian ikan asap | 4
    



Terakhir santan | 5
    



Icip rasa, matikan api, sajikan"
Tahu tempe saus Tiram,https://cookpad.com/id/resep/13674782-tahu-tempe-saus-tiram,100 gr tempe; 100 hr tahu putih; 1/2 sdt lada; 1 sdt saus tiram; 1/4 sdt garam; 2 sdm air,"1
    



Potong2 tempe dan tahu, tambahkan saus tiram dan lada | 2
    



Masukan wajan, masak dengan api kecil dan tambahkan air dan garam masak hingga air sedikit berkurang. waktu memasak sebaiknya ditutup agar tahu dan tempe cepat masak | 3
    



Angkat dan sajikaaan. janga lupa sayurannya yaaa ❤"
Caramel Soy Latte,https://cookpad.com/id/resep/16658090-caramel-soy-latte,130 ml air mendidih; 12 g bubuk kopi Arabica (fine); 18 g saus caramel Smuckers; 1 sachet sweetener tropicana slim 0 cal; 80 g es batu; 120 ml VSOY Golden Grain,"1
    



Tuang air mendidih dan bubuk kopi ke french press. Aduk dgn sendok sampai rata. Tutup french press nya. Tunggu selama 4 menit, lalu dipress. Setelah itu, tuang ke gelas ukuran 354ml yg tahan panas (kopinya dapat +/- 80ml). | 2
    



Tuang saus karamel dan sweetener ke gelas. Aduk pakai frother. | 3
    



Tuang es batu +/- 80g. Tuang VSOY. Kalau mau lebih berbuih, vsoy difrother dulu sebelumnya. | 4
    



Sajikan."
Oatmeal Cookies low Calorie,https://cookpad.com/id/resep/8930571-oatmeal-cookies-low-calorie,"Bahan kering :; 250 gr terigu protein rendah, ayak; 200 gr oatmeal; 25 gr coklat bubuk; 1/2 sdt baking powder; 50 gr chocochips; Bahan basah :; 150 gr salted butter; 150 gr unsalted butter; 110 gr gula singkong; 1 sdt vanilla; 2 kuning telur","1
    



Campur semua bahan kering, aduk rata, sisihkan. | 2
    



Campur dengan mixer butter dan gula singkong sampai mengembang atau berwarna pucat. Turunkan kecepatan mixer sampai terendah, tambahkan kuning telur dan vanilla, aduk rata. | 3
    



Masukkan campuran bahan kering sedikit Demi sedikit Ke dalam adonan butter, aduk menggunakan spatula. | 4
    



Buat bulatan² kecil sesuai selera, letakkan diatas loyang yg sudah dialasi baking paper atau dioles mentega, kemudian pipihkan menggunakan garpu. | 5
    



Panggang dalam oven dengan suhu 160°C selama 17 menit. Kenali oven masing² ya. Kemudian dinginkan diatas cooling rack."
Cookie brownie gluten free low calorie,https://cookpad.com/id/resep/15686262-cookie-brownie-gluten-free-low-calorie,Bahan A; 50 gr margarin; 225 gr dark choco 70% me : merk schoko; Bahan B; 3 butir telur; 50 gr gula halus. (Optional. Klo aku lg ditahan sama2 yg manis2); Bahan c; 150 gr tepung mocaf; 50 gr coklat bubuk; Toping bebas,"1
    



Bahan A dilelehkan | 2
    



Bahan B diaduk | 3
    



Bahan A dan B di campur | 4
    



Bahan c di saring | 5
    



Aduk semua bahan. Bentuk bebas suka suka | 6
    



Panggang di 160 derajat selama 40 menit."
Yogurt Cake 3 bahan,https://cookpad.com/id/resep/15714414-yogurt-cake-3-bahan,"200 g yogurt; 2 butir telur; 20 g (2 sdm) tepung maizena; 20 g (2 sdm) gula pasir, opsional","1
    



Panaskan oven 170°C, siapkan loyang yang dialasi baking paper. Saya pakai diameter 16 cm. | 2
    



Kocok telur di mangkuk. Masukkan yogurt dan gula pasir aduk rata. | 3
    



Tambahkan maizena, aduk rata. | 4
    



Masukkan ke loyang. Panggang suhu 170°C selama sekitar 20 menit. | 5
    



Cek kematangan dengan tusuk gigi. Setelah matang, keluarkan dari oven dan diamkan selama 30 menit sampai agak dingin. | 6
    



Sajikan atau simpan di kulkas sampai dingin."
"Anabolic Oat Bran Healthy Muffins|High Protein, Low Calorie, Sugar & Gluten Free",https://cookpad.com/id/resep/24137236-anabolic-oat-bran-healthy-muffinshigh-protein-low-calorie-sugar-gluten-free,"Bahan Kering; 200 gram tepung oat bran


Oat Bran Flour for Baking; 2 sdt baking powder; 1/2 tsp baking soda; 1/4 sdt garam; 2 sachet diabetasol; 1 sdt bubuk kayu manis/spekoek; Bahan Basah; 300 gram pisang matang; 45 gram susu whey vanilla (me : Puro); 45 gram whey casein (me : Muscle First Banana); 100 gram Erythritol; 150 gram Pumpkin Puree


Pumpkin Puree for Baking; 120 gram putih telur; Bahan Topping; 100 gram strawberry beku; 50 gram kismis cincang; 50 gram mini chocolate chips (boleh pake yang biasa)","1
    



Rasa muffins dari tepung ini mirip dengan versi pakai oatmeal. Kue sehat seperti ini rasanya tetap enak dan membuat diet jadi tidak membosankan. | 2
    



Pertama campurkan semua bahan kering dan aduk hingga merata. Lalu siapkan toppingnya dengan potong-potong dadu strawberry dan kismis. | 3
    



Dalam wadah berbeda, hancurkan pisang yang sudah sangat matang. Saya pakai yang sudah beku lalu dilelehkan ya. Lalu tambahkan puree labu dan putih telur. Aduk hingga merata lalu tambahkan bahan kering. | 4
    



Aduk lagi hingga merata dan masukkan toppingnya yaitu strawberry, kismis, dan chocolate chips. Chocolate chips nya saya sisakan sedikit ya untuk topping atasnya. | 5
    



Ke loyang aluminium yang sudah dioleskan sedikit minyak, tuangkan adonan. Lalu beri topping almond slice dan sisa chocolate chips.
Nyalakan oven untuk pre-heat pada suhu 180°C sambil menunggu. | 6
    



Setelah oven panas, panggang kue selama 45 menit. Lalu setelah matang diamkan hingga dingin. | 7
    



Setelah dingin, keluarkan dari loyang dan muffins sehat untuk diet siap sajikan."
"4. Sup sawi putih, tahu dan telur （vegetarian）",https://cookpad.com/id/resep/6621738-4-sup-sawi-putih-tahu-dan-telur-vegetarian,2.5 gelas air matang; 2.5 blok kaldu ayam/kaldu jamur（disesuaikan dg dosis dikemasan ）; sawi putih 6 lembar （boleh ditambahkan sesuai selera）; 2 pcs tahu kuning yunyi; kecap asin 1tsb; garam 1/2 tsb; segenggam daun bawang (bisa di skip); minyak wijen 1/3 tsb; bahan kocokan ：; telur 2pcs + kaldu ayam 1/2blok atau garam+lada,"1
    



Masak air bersama kaldu ayam/jamur, kecap dan garam sambil menunggu air mendidih potong dadu tahu dan potong2 sawi putih sesuai selera | 2
    



Sth mendidih dan pastikan kaldu blok sdh hancur masukan sawi putih dan tahu, sambil menunggu mendidih kocok telur dg 1/2 kaldu blok （bisa di ganti garam & lada） | 3
    



Begitu air mendidih, aduk memutar kuah pelan sambil masukkan kocokan telur perlahan2 dan teruskan mengaduk kuah | 4
    



Setelah mendidih masukkan minyak wijen kemudian tuang di mangkuk, taburi irisan daun bawang di atasnya. siap di hidangkan."
