Judul,URL,Bahan,Langkah
Bakwan Jagung Sehat || NO tepung NO digoreng,https://cookpad.com/id/resep/14501222-bakwan-jagung-sehat-no-tepung-no-digoreng,1 bh jagung ambil bijinya saja; 1 btg daun bawang; 2 siung bapu; 1 bh kemiri; 1 btr telur; 3 sdt tepung gandung; Garam; Dashi moto; Lada halus; Minyak kelapa,"1
    



Siapkan semua bahan. Uleg baput dan kemiri, rajang2 daun bawang | 2
    



Pipili jagung. Lalu tuang semua bahan jadi satu. Beri dashi secukupnya juga garam dan lada halus. | 3
    



Panaskan penggorengan anti lengket. Olesi minyak dan biarkan mulai panas. Tuang adonan ke pan dan tutup atasnya. Biarkan hingga matang. Jika sudah matang balikkan ke sisi satunya dan biarkan matang"
Mie sehat untuk anak2,https://cookpad.com/id/resep/11471779-mie-sehat-untuk-anak2,250 gr terigu; Bubuk brokoli (bisa juga pake brokoli yang udh di blender); 1 sdt garam; secukupnya Air,"1
    



Campur semua adonan aduk sampai hasil adonan menjadi bagus | 2
    



Tutup adonan dengan kain yang sudah di basahi selama 15 menit | 3
    



Cetak adonan ke penggilingan mie | 4
    



Jadi deh mie kenyal dan sehatnya"
"#Diet Sate Tuna No Minyak, Santan & Tepung",https://cookpad.com/id/resep/13740853-diet-sate-tuna-no-minyak-santan-tepung,250 gram tuna potong kotak dan beri jeruk nipis; Haluskan; 2 buah kemiri; 1 sdm ketumbar; lada seselera; garam seselera; kaldu jamur,"1
    



Marinasi ikan dengan bumbu halus | 2
    



Bakar diatas grill atau teflon (tanpa minyak) | 3
    



Siap dihidangkan dengan nasi merah"
Nasgor cabe hijau (menu diet tanpa minyak),https://cookpad.com/id/resep/14411393-nasgor-cabe-hijau-menu-diet-tanpa-minyak,3 sdm nasi; 50 gr dada ayam tanpa kulit; BUMBU HALUS :; 3 bh cabe hijau; 3 bh cabe rawit; Sejumput garam; 2 siung bawang merah,"1
    



Tumis bumbu halus hingga agak layu | 2
    



Masukkan ayam | 3
    



Tunggu hingga ayam berubah warna, kemudian masukkan nasi | 4
    



Nikmati saat panas"
"Nasi Tim Ikan, praktis dan sehat",https://cookpad.com/id/resep/13011213-nasi-tim-ikan-praktis-dan-sehat,"200 gram fillet ikan nila, potong dadu; 50 gram wortel, potong dadu; 25 gram buncis, potong2; 4 buah jamur kancing, potong2; 2 butir telur, direbus; 1 sdm saos tomat; 1 sdt saos tiram; 1 sdm Kecap manis; secukupnya Garam, gula, merica; 100 ml air; 2 sdm minyak utk menumis; Bumbu halus :; 2 siung bawang putih; 4 buah bawang merah","1
    



Siapkan bahan. Wortel direbus dahulu sampai matang dan tiriskan. Panaskan wajan, tuang minyak lalu tumis bumbu halus sampai wangi | 2
    



Masukkan ikan, aduk dan tumis sampai berubah warna, masukkan wortel, buncis, telur rebus, saos tiram, kecap manis,saos tomat, garam, gula, merica secukupnya, aduk rata
Tambahkan air, aduk rata dan koreksi rasa. Masak sampai bumbu meresap ke dalam tumisan | 3
    



Penyajian: 
tuang 3 sendok makan tumisan ikan ke dalam ramekin/cetakan lalu tambahkan irisan telur di tengahnya, tuang nasi di atasnya sampai penuh dan padatkan, keluarkan dari cetakan dan tata ke dalam kotak bekel anak, sajikan




 

 





Nasi Tumis Wortel-Jamur"
PISANG CRISPY (Snack Sehat Keluarga),https://cookpad.com/id/resep/14434919-pisang-crispy-snack-sehat-keluarga,"sesuai selera Buah pisang, banyaknya , belah jadi 2. Sisihkan; 5-6 sdm tepung terigu (dikira² aja yaa moms); 1 bks tepung pisang vanilla (pake merk s*sa); secukupnya garam; 2 sdm gula pasir; Secukupnya air; Secukupnya tepung panir; Topping:; Glaze; Sprinkles Rainbow","1
    



Campur bahan tepung dengan air, aduk sampai rata | 2
    



Masukkan irisan pisang, pastikan semua tercampur dengan adonan tepungnya | 3
    



Baluri dengan tepung panir/tepung roti. Lakukan sampai habis | 4
    



Goreng dengan api sedang hingga matang kecoklatan | 5
    



Beri topping glaze sesuai selera | 6
    



Sajikan selagi hangat"
Kering Tempe - Teri tanpa Minyak (Healthy Cooking),https://cookpad.com/id/resep/13678097-kering-tempe-teri-tanpa-minyak-healthy-cooking,1 Papan Tempe; 100 gr Teri Medan; 5 siung Bawang Putih; 5 siung Bawang Merah; 1 Ruas Lengkuas; 5 lbr Daun Jeruk (geprek); 3 lbr Daun Salam (geprek); 2 batang Sereh Geprek; 3 Sdm Kecap Manis; Air asam jawa (krn gapunya aku ganti peresan jeruk nipis); 5 bh Cabe Rawit sesuai selera; 1 Ruas Jahe geprek,"1
    



Siapkan bahan-bahan. Cuci bersih. Iris tipis bawang merah dan rawit. Geprek2 jahe, lengkuas, sereh dan daun2. Sisihkan. | 2
    



Siapkan 1 papan tempe, iris tipis. Masukkan dalam Airfryer dan panggan suhu 180° selama 15-20 menit. Sesuaikan dg Airfryer masing2 yaa..cek setiap 10 menit jangan sampe gosong. | 3
    



Siapkan teri nasi, cuci bersih. Masukkan dlm airfryer dan panggang seperti memanggang tempe diatas. | 4
    



Tumis bawang putih dg 2 sdm minyak kelapa. Tunggu hingga harum. Tambahkan rawit dan bawang merah. Tumis hingga layu. | 5
    



Tambahkan air perasan jeruk nipis/asam jawa dan kecap manis. Boleh juga ditambahkan gula jawa. | 6
    



Jika sudah mendidih, masukan teri dan tempe yg sudah dipanggang. Tumis hingga kering. | 7
    



Kering Tempe Teri Airfryer siap disajikan. Selamat mencoba!"
Mie Goreng Sehat,https://cookpad.com/id/resep/16028313-mie-goreng-sehat,1 bungkus Mie Goreng Jiwa Pagi; Air untuk merebus; Bahan tambahan; secukupnya Sawi hijau rebus; 1 butir telur cepok; 1 buah tomat iris,"1
    



Siapkan bahan nya: | 2
    



Rebus mie di air mendidih. | 3
    



Setelah matang lalu tiriskan | 4
    



Siapkan piring, tuang bumbu mie Jiwa Pagi, tuang mie yang sudah di tiriskan, aduk rata, 
Beri tambahan sawi hijau, tomat dan telur ceplok. | 5
    



Mie goreng Sehat siap di sajikan"
Apple Cinnamon Overnight Oats,https://cookpad.com/id/resep/15699616-apple-cinnamon-overnight-oats,40 gram rolled oat; 1 sdm chia seed; 70 gram greek yogurt; 1-3 sdm maple syrup; 60 ml susu; 1/2 sdt cinnamon powder; Sejumput garam; Sejumput pala bubuk; Sejumput jahe bubuk; Bahan Topping:; Potongan apel kotak2 kecil; Cinnamon powder,"1
    



Aduk rata semua bahan, kecuali topping di dalam jar / gelas. | 2
    



Tutup dengan cover / penutup gelas / penutup jar. | 3
    



Masukkan kulkas minimal 8 jam / semalaman. | 4
    



Keesokan paginya, tambahkan topping potongan apel kecil2 dan taburkan cinnamon powder."
Banana Oat Pancake,https://cookpad.com/id/resep/13185957-banana-oat-pancake,3 sdm oat; 1 buah pisang; 1 butir telor; 1 sdm madu; 1 sdt chia seedst,"1
    



Haluskan pisang | 2
    



Tambahkan telur, aduk rata. | 3
    



Haluskan oat (blender kering), tambahkan ke adonan, aduk rata. | 4
    



Siapkan wajan anti lengket, tuang 2 sdm adonan, tunggu sesaat, balikkan dan angkat. Begitu seterusnya hingga adonan habis. (Sy dapat 5 layers 🥞) | 5
    



Tambahkan topping madu dan chia seeds. Pancake Banana Oat siap dihidangkan 😊"
Bakso Sapi Sehat (tanpa pengenyal),https://cookpad.com/id/resep/11939979-bakso-sapi-sehat-tanpa-pengenyal,1/4 daging giling (sapi); 1 sdm garam; 1 sdm totole; 1/2 sdt baking powder; 3 siung bawang putih; secukupnya Air es / Es batu; 3-4 sdm tepung tapioka; 1 btr putih telur,"1
    



Haluskan daging, aku kmaren pake daging giling jadi tapi aku blender lagi biar makin halus ✋🏻 | 2
    



Cincang halus bawang putih, lalu goreng sampai coklat / gelap angkat dan diamkan. | 3
    



Masukan daging yang sudah di haluskan tadi ke dalam wadah, tambahkan telur dan aduk hingga telur merata. Masukan tepung secara perlahan, jangan lupa garam, totole dan bawang putih ya.. | 4
    



Panaskan air hingga mendidih, matikan. | 5
    



Bulatkan bakso sesuai ukuran dan slera masing2. Masukan bakso ke dalam panci berisi air panas td (jangan sambil nyalain kompor, bisa merusak texture bakso jadi kasar) | 6
    



Jika sudah semua adonan menjadi bakso, nyalakan kompor dan rebus hingga bakso naik ke permukaan (itu tandanya udh mateng ya) | 7
    



HAbis itu diemin dulu 1 mnt lalu masukin ke wadah dengan berisikan air dingin dengan tujuan untuk menghentikan bakso matang berlebihan / bisa menjadi lembek. Simpan di freezer jangan lupa 💁🏼‍♀️💁🏼‍♀️"
Waffle oatmeal,https://cookpad.com/id/resep/15039778-waffle-oatmeal,3 sendok cup queker outmeal; 1 Senduk cup granola; 2 sdt baking powder; 1/4 sendok teh garam; 3 butir telur ayam; 160 ml susu rendah lemak; 1 sdt vanili,"1
    



Masukan semua bahan ke dalam blender. Blender sampai halus. Benar2 halus ya. Biarkan adonan berisitirahat dahulu | 2
    



Panaskan oven selama 20 menit, suhu 180derajat selsius, dan oles cetakan wafel dengan mentega. Tuang adonan kedlaam cetakan. | 3
    



Jika sudah, Panggang waffel di oven selama 15 menit.(sesuaikan kondisi oven masing2) tanda tingkat kematangan,pastikan tidak terlalu lama dan jangan sampai gosong. Jika sudah keluarkan dr oven..
Sajikan berama yogurt, madu, atas dengan es krim.."
Oseng kedelai diet (tanpa minyak gula tepung dan santan),https://cookpad.com/id/resep/15196165-oseng-kedelai-diet-tanpa-minyak-gula-tepung-dan-santan,50 gr kedelai rebus (saya pakai tempe yang belum jadi); 50 gr tauge; 1 siung bawang merah; 1 siung bawang putih; 2 buah cabe hijau; 4 buah cabe rawit; 1 ruas laos; 1 SDM kecap manis; 1/4 sdt garam; 1/4 sdt penyedap,"1
    



Tumis bawang merah, bawang putih, cabe dan Laos menggunakan sedikit air. Oseng-oseng hingga air Asat dan kering. Tambah sedikit air lagi. | 2
    



Masukkan kedelai, kecap, garam dan penyedap aduk dan biarkan kedelai empuk. Kemudian masukkan tauge, adun hingga tauge layu. Angkat sajikan."
Susu Kunyit sehat,https://cookpad.com/id/resep/14360339-susu-kunyit-sehat,1 gelas susu cair; 1 bunga lawang; Seruas jahe; 3 buah cengkeh; 2 kapulaga india; Sedikit kayu manis; 1/2 st merica itam bubuk; 1/2 st jemuju; Sedikit kunyit bubuk,"1
    



Blender, jahe + kapulaga india + cengkeh + kayu manis dgn air secukupnya | 2
    



Ambil panci + kan air dikit dg blender tadi, + jemuju, merica, bunga lawang | 3
    



Rebus semua bahan ampe didih, +kan susu cair, masak sampe betul didih lalu, +kan kunyit bubuk | 4
    



Setelah didih saring di gelas,+ gula sesuai selera...."
Ikan Makarel Bumbu Sarden (tanpa minyak),https://cookpad.com/id/resep/14969550-ikan-makarel-bumbu-sarden-tanpa-minyak,"500 gram Ikan Makarel beku (beli di Carefoure); Bahan Halus:; 8 siung bamer; 4 siung baput; 1 butir kemiri; 3 buah cabe merah keriting; 1 buah tomat; 1 sdt garam; Bahan Iris:; 4 baput; 6 bamer; 3 buah cabe merah; Bahan pelengkap:; 2 lembar daun salam; 1 ruas jari jahe; 1 ruas jari lengkuas; Garam, totoli, air; 4 Sdm saos tomat; Jeruk nipis","1
    



Marinase ikan dgn taburan garam, merica bubuk, jeruk nipis selama 5 menit, kemudian kukus ikan selama 20 menit. Sisihkan. | 2
    



Gongso bahan iris diatas teflon sampai berubah warna, masukan bumbu halus dan pelengkap, tambahkan air stengah gelas, masukan garam, merica bubuk, saus tomat, totoli, biarkan sampai kuah mengental. | 3
    



Masukan ikan, tambahkan lagi air 1/4 gelas, aduk2 dan biarkan sejenak agar bumbu meresap. Tes rasa... kalo sudah pas, angkat dan sajikan... selamat berbuka 😉"
Oat mocaf microwave cookies (eggless),https://cookpad.com/id/resep/17206583-oat-mocaf-microwave-cookies-eggless,7-8 sdm tepung oat (oat diblender kering); 2-3 sdm gula palem; 3 sdm susu cair (boleh skm atau susu bubuk dicairkan. Saya pakai susu soya); 1 sdm margarine; 1-2 sdm minyak kelapa; secukupnya Kismis,"1
    



Campurkan bahan jadi satu, uleni sampai rata. Susu dan minta kelapa dicampurkan terakhir untuk mendapatkan keulenan adonan sesuai selera | 2
    



Terakhir, campurkan kismis. Uleni lagi. Lalu bentuk sesuai selera. | 3
    



Tata dibatas piring tahan microwave, lalu masukkan ke dalam microwave. Masak menggunakan mode high selama 4 menit. Lalu cek kembali, tambahkan selama 3-4 menit lagi atau sampai ke kematangan yang disuka"
Nasi goreng beras merah oats,https://cookpad.com/id/resep/15759838-nasi-goreng-beras-merah-oats,Bahan Utama :; 3 centong Nasi merah; 6 buah Bakso sapi; 2 batang Daun bawang; 2 buah Cabe merah iris; Secukupnya Pokcoy/Sawi hijau; Bumbu Rendaman :; 3 butir Telur ayam; 70 gr Oat (Quaker Rolled Oats); Bumbu halus :; 4 siung Bawang merah; 3 siung Bawang putih; 2 buah Kemiri; Secukupnya Minyak goreng; Bumbu lainnya :; 1 sdm Kecap manis; 1 sdm Kecap asin; 1 sdm Saos tiram; Secukupnya Penyedap,"1
    



Marinasi telur dan oats di wadah. Campur hingga merata. Tutup dengan plastik wrap dan diamkan semalam 45-60 menit. | 2
    



Kemudian haluskan bumbu halus.
iris dan cuci bersih bakso, daun bawang dan sawi/pkcoy. | 3
    



Tumis bumbu halus hingga wangi.
Tambahkan marinasi oats dan telur. masak hingga agak kering. | 4
    



Tambahkan bakso dan daun bawang. Lalu aduk merata.
Masukkan nasi merah aduk kembali hingga merata. | 5
    



Beri bumbu lainnya dan test rasa | 6
    



Terakhir masukkan sawi/pokcoy, masak hingga matang sesuai selera.
test rasa sekali lagi.
Jika di rasa sudah pas, matikan kompor. | 7
    



Sajikan dengan irisan timun/tomat/sesuai selera"
Dadar telor bayam sehat,https://cookpad.com/id/resep/10167794-dadar-telor-bayam-sehat,2 btr telor utuh; 10 btg sayur bayam direbus sebentar kemudian di iris tipis & dicacah; 1 siung bawang merah iris tipis; 1 bh wortel uk kecil diparut; 1/2 sdm maizena; 1 sdt saos tiram; 1/2 sdt garam; 3 sdm minyak sayur,"1
    



Masukkan telor dalam wadah, campur bayam yg sudah dicacah halus, tambahkan wortel, saos tiram, maizena, bawang merah, Dan garam. Kocok semua adonan sampai berbuih Dan tercampur rata | 2
    



Setelah itu tuang minyak sayur kedalam kuali sampai minya panas, kemudian masukkan adonan Dadar nya. Apabila sdh agak coklat, balik adonannya segera, jangan sampai gosong yahh bun... Matikan kompor, Dan siap disajikan segera"
Healthy Snack (Fruit & Vegetables),https://cookpad.com/id/resep/23917204-healthy-snack-fruit-vegetables,"1 Apel; 1 Alpukat; 1 pear; 1/4 Pepaya; 1 mangga; 1 Timun; 2 pisang; 5 lembar selada keriting; 5 lemnar selada Romaine; Sauces :; 2 cabe rawit, rebus 3 mt; 3 sdm kacang tanah goreng; 1 siung bawang putih, rebus bersama cabe; 3 bawang merah,rebus bersama cabe; 1 sdm gula merah; 1/2 sdt garam; 2 sdm air lemon; Secukupnya air","1
    



Siapkan bahan2 yang dibutuhkan. Sesuai yg disukai & yang ada saja ya mom, (buah2an & sayuran) | 2
    



Campur semua bahan & haluskan, tambah secukupnya air (sesuai kekentalan yg disukai) | 3
    



Cuci, kupas & potong potong buah2an. Tata dipiring saji bersama sauce | 4
    



Selamat menikmati Healthy Snack yang nikmat...😋"
Tumis Kacang panjang oseng tempe madu sehat no gula garam,https://cookpad.com/id/resep/14158014-tumis-kacang-panjang-oseng-tempe-madu-sehat-no-gula-garam,1/2 papan tempe; 5 batang kacang panjang; Meat stock; 3 sdm madu ig rawwildhoney; Bumbu; 5 siung Bamer; 1 siung Baput; Bawang bombay,"1
    



Siapkan minyak kelapa tambahkan 3 bawang | 2
    



Paralel Potong tempe kotak, semprot minyak kelapa, masukkan ke air fryer 10 menit 180c | 3
    



Masukkan kacang panjang | 4
    



Ambil meat stock dari stock pot, saya pakai ayam kampung tuang ke wajan | 5
    



Keluarkan tempe dari air fryer masukkan ke wajan | 6
    



Tuang madu dipinggir biarkan caramelized seperti efek kecap, aduk rata | 7
    



Hidangkan"
Mixed Herbs Chicken Grill With Mushroom Sauce (Menu Diet Sehat),https://cookpad.com/id/resep/11441509-mixed-herbs-chicken-grill-with-mushroom-sauce-menu-diet-sehat,"1 buah dada ayam; Marinasi; 1 sdm mixed herbs; 2 sdm olive oil; 1 sdm air lemon; 1/4 sdt garam himalaya; 1/4 sdt lada putih; Saus Jamur; 5 buah brown mushroom; 2 buah bawang putih cincang; Secukupnya garam, gula, lada, dan bumbu penyedap; 1 sdm kecap inggris; 1 sdm tepung maizena yang sudah dilarutkan air; secukupnya Air","1
    



Cuci bersih dada ayam lalu keringkan | 2
    



Geprek ayam hingga agak rata agar matangnya lebih merata di teflon | 3
    



Campur semua bumbu marinasi lalu balurkan ke dada ayam. Diamkan kurang lebih 15 menit | 4
    



Grill dada ayam masing2 sisi 10 menit atau sampai agak kecoklatan dan matang | 5
    



Saus jamur : tumis bawang putih lalu masukkan jamur, kemudian tambahkan air, bumbu, dan tepung maizena. Aduk rata hingga mengental. | 6
    



Sajikan bersama salad segar 😋"
Plecing Kangkung Menu Diet No Minyak,https://cookpad.com/id/resep/14448031-plecing-kangkung-menu-diet-no-minyak,"2 ikat kangkung, siangi lalu rebus diair mendidih; Bumbu:; 5 cabe rawit ukuran besar; 5 cabe merah besar; 2 butir kencur; 6 siung bawang merah; 2 siung bawang putih; 1 sc terasi; 1 buah tomat ukuran sedang; Secukupnya lada bubuk; Secukupnya gula dan garam; Secukupnya micin (optional)","1
    



Kemudian haluskan semua bahan bumbu (saya pakai chopper) | 2
    



Koreksi rasa, lalu sajikan."
Breakfast oatmeal with granola,https://cookpad.com/id/resep/15128824-breakfast-oatmeal-with-granola,3 sdm oatmeal instan; secukupnya fresh milk; 2 sdm madu/bisa ganti gula; granola,"1
    



Dalam mangkok taruh oatmeal panaskan susu cair..campurkan oatmea,susu,dan madu | 2
    



Aduk hingga trcampur rata
taburkan granola di atasnya
siap sajikan"
Banana oat Pancake,https://cookpad.com/id/resep/14340487-banana-oat-pancake,200 gr oatmeal; 1 bh pisang cavendis; 1 btr telur; 1/2 sdm tepung terigu; 1 sdm gula pasir; sesuai selera SKM; Air,"1
    



Blender semua bahan, lihat tingkat kekentalan, lalu panggang d teflon"
Ayam Geprek Sehat (DIET/Clean Eat),https://cookpad.com/id/resep/14643520-ayam-geprek-sehat-dietclean-eat,"400 gr Dada ayam fillet; 4 sdm oatmeal blender sampai halus; secukupnya saos tiram (aku pakai cap Panda); secukupnya Olive oil; Timun, selada dan Tomat (Lalapan); Sambal; 8 bh Cabe Rawit; 3 bh Bawang putih; 1/4 bh Tomat; secukupnya Garam himalaya; secukupnya Lada","1
    



Cuci bersih ayam peras jeruk nipis lalu tambahkan garam,lada saus tiram. Marinate selama 30 menit | 2
    



Balurkan ke atas oatmeal.Letakkan diatas Teflon menggunakan olive oil. | 3
    



Ulek sambal (koreksi rasa) lalu taruh di atas ayam lalu di geprek.. Voilaaaaa jadi deh menu sehat kita.. Enjoooooy"
