Judul,URL,Bahan,Langkah
"Gluten Free, Sugar Free, eggless butter cookies, no bp",https://cookpad.com/id/resep/16187381-gluten-free-sugar-free-eggless-butter-cookies-no-bp,220 gr Bobredmill clean baking 1:1 kesayangan udah pk xantham gum; 120 gr corn starch; Bahan adonan; 250 gr anchor unsalted; 66 ml almond milk; 1 tsp vanilla essence; 2 tbsp almond milk; 1 tbsp pb2 almond protein enhancer; 120 gr Tropicana slim (12 sticks); 1/4 tsp sea salt coarse,"1
    



Ayak semua bahan kering sisihkan | 2
    



Mix butter dan susu sampai lembut, tambahkan gula, susu bubuk, vanilla essence, garam.. knp kok susu almond mulu? Hahaha biar match sm pb2 aja sihh.. boleh di ganti soy milk atau susu skim yg buat diet yaahh tp susu Cair jgn pliss cari yg ttp ada fat nyaa soalnya fungsinya buat ganti telor klo skim milk suka gak ngiket huhu | 3
    



Masukan tepung yg sudah di ayak aduk dengan spatula sampai kalis udah bs dibentuk tangan ga nempel | 4
    



Bagi adonan d baking pan yg sudah di alas baking paper kira2 3 cm lah ya d bulet2in teken lembut pake garpu bentuk criss cross | 5
    



Oven sesuai oven masing2 api kecil ajaaahh d oven ak sekitar 150°c 40 menit boleh ditambah Tropicana slim lg atau di oles madu, sesuai selera ajaa.. but note in mind vegan gak mamam maduu yaahh since it's a product of bee, jd klo mo bikin versi vegan yaa ojooooookk (ini nginggeris2 Jawa gini maapin yaak) | 6
    



Angkat taro cooling rack sajikan atau masukan toples kedap udara, crunchy, melted, no bp, no sensasi ngembang di tengah doang pokoknya yuuuummm | 7
    



Ini versi palm sugar + wysmann yah momss kinyis lembut melted gakuku tapi yaa mon maap ga sehat wkwk. Takerannya sama ajaa.. cukup ganti butter, gula ganti 50gr icing sugar + 80gr palm sugar | 8
    



Yukk resnap ini super gampang dan super simple secara anaknya paling males cookies dibentuk macem2 yang penting hasil akhir xixixixi
#BikinBarengKueKering"
(Eat Clean Menu) Ayam Suwir Nabati/Vegetarian Sambalado + Tahu Tempe Kecap,https://cookpad.com/id/resep/15892176-eat-clean-menu-ayam-suwir-nabativegetarian-sambalado-tahu-tempe-kecap,1 Buah Kentang Rebus; 1 Buah Tomat Potong; 5 Batang Kacang Panjang Rebus; Ayam Suwir Nabati Sambalado; 1 Buah Cabai Besar; 3 Buah Bawang merah & Bawang putih; 7 Buah Cabe Rawit; 1/2 Ruas Jari Jahe Geprek; 1/2 Bawang Bombay Iris; 1 Buah Tomat Potong; 1 Buah Cabai Besar Iris; 50 Gram Ayam Suir Nabati; Tahu Tempe Kecap; 1 Buah Bawang merah & Bawang putih Iris; 1/4 Bawang Bombay Iris; 50 Gram Tahu Tempe Potong,"1
    



Tumis jahe yg sudah digeprek, cabe besar, bawang putih, bawang merah dan cabe rawit yg sudah diblender kasar kemudian masukkan bahan lainnya yg sudah diiris tunggu sampai wangi, kemudian masukkan ayam suwir nabati yg sudah digoreng setengah matang. Tambahkan garam dan lada, koreksi rasa dan sajikan. | 2
    



Tumis bombay, bawang merah dan bawang putih yg sudah diiris, masukkan tahu dan tempe yang sudah digoreng setengah matang, tambahkan kecap. Koreksi rasa dan sajikan. | 3
    



Sajikan ayam suwir nabati sambalado dan tahu tempe kecap dengan kentang rebus, tomat potong dan kacang panjang rebus. Selamat menikmati 😌"
Omelet Buncis Tahu (Eat Clean),https://cookpad.com/id/resep/4035640-omelet-buncis-tahu-eat-clean,secukupnya Bawang bombay cincang; 1 genggam buncis. Cuci bersih kemudian iris tipis memanjang; 1 sdm saus tiram; 1/4 sdt garam; 1/4 sdt lada bubuk; 2 butir telur kocok lepas; 1/2 sdt minyak sayur; 2 buah potong tahu putih potong dadu kecil,"1
    



Panaskan wajan tambahkan minyak | 2
    



Oseng buncis dan bawang bombay tunggu agak layu | 3
    



Tambahkan garam lada dan saus tiram | 4
    



Oseng ulang sampai tercampur | 5
    



Masukkan tahu dan telur ratakan sampai berbentuk omelet | 6
    



Jangan terlalu di aduk | 7
    



Tunggu sampai matang yang diinginkan | 8
    



Omelet buncis tahu siap dinikmati"
EAT CLEAN Day 7 (ayam teriyaki),https://cookpad.com/id/resep/14767501-eat-clean-day-7-ayam-teriyaki,200 gr dada ayam tanpa tulang; 2 buah cabe merah kriting; 1 buah bawang bombay; 2 siung bawang putih; 1 sdm saus teriyaki; Lada; 1 sdt minyak goreng untuk menumis,"1
    



Gunakan teflon anti lengket,Tumis bawang putih dngn minyak hingga harum | 2
    



Tambahkan bawang bombay tumis hingga harum | 3
    



Masukkan ayam saus teriyaki dan lada | 4
    



Masak hingga ayam matang 
Usahakan ridak menambahkan garam gula ataupun lebih banyaknsaus teriyaki agar kalorie tidak berlebih | 5
    



Hidangkan dengan 3sdm nasi (kalo saya menggunakan shirataki agar lebih sesikit kalori)"
Ayam Geprek Sehat (DIET/Clean Eat),https://cookpad.com/id/resep/14643520-ayam-geprek-sehat-dietclean-eat,"400 gr Dada ayam fillet; 4 sdm oatmeal blender sampai halus; secukupnya saos tiram (aku pakai cap Panda); secukupnya Olive oil; Timun, selada dan Tomat (Lalapan); Sambal; 8 bh Cabe Rawit; 3 bh Bawang putih; 1/4 bh Tomat; secukupnya Garam himalaya; secukupnya Lada","1
    



Cuci bersih ayam peras jeruk nipis lalu tambahkan garam,lada saus tiram. Marinate selama 30 menit | 2
    



Balurkan ke atas oatmeal.Letakkan diatas Teflon menggunakan olive oil. | 3
    



Ulek sambal (koreksi rasa) lalu taruh di atas ayam lalu di geprek.. Voilaaaaa jadi deh menu sehat kita.. Enjoooooy"
Clean Eating - Simple Egg Sandwich,https://cookpad.com/id/resep/6919011-clean-eating-simple-egg-sandwich,"3 lembar roti tawar gandum; 1 bh tomat, cincang; 1 btr telur omega; Beberapa helai daun lettuce, cuci + tiriskan; 1 lembar keju cheddar light (saya skip); 1/2 sdm saus cabai; Garam; Merica; Sedikit minyak untuk menumis; Plastik cling wrap untuk membungkus (optional)","1
    



Kocok telur dan bumbui sesuai selera. Panaskan sedikit minyak di wajan teflon. Masak telur hingga matang dengan api kecil (boleh dibikin versi omelet atau scramble) | 2
    



Olesi 1 lembar roti tawar dengan saus cabai. Letakkan lettuce dan potongan tomat di atasnya. Letakkan 1 lembar roti tawar dan letakkan keju dan telur di atasnya. Taburi telur dengan sedikit black pepper. Tutup dengan lembar roti terakhir. | 3
    



Ambil plastik cling wrap. Bungkus sandwich dengan plastik berulang - ulang (kurleb 3x) hingga sandwich tampak padat. Potong sandwich secara horizontal di tengah."
Homemade Beef Burger Salad (Eat Clean Series),https://cookpad.com/id/resep/1416346-homemade-beef-burger-salad-eat-clean-series,"Bahan Beef Burger :; 250 gr daging sapi cincang; 1/2 buah bawang bombay, cincang halus; 1 1/2 siung bawang putih, cincang halus; 1 butir telur; secukupnya garam,kaldu jamur,lada putih, lada hitam,bubuk cabai; sedikit minyak zaitun untuk menumis; Pelengkap :; 1 buah tomat; 1/2 bawang bombay, bisa di tumis sebentar jika tidak suka mentah; 2 buah telur buat scrambled eggs; secukupnya daun lettuce; Dressing :; secukupnya salad dressing; sedikit lemon juice; sedikit oregano; 8 lembar roti gandum, panggang","1
    



(Untuk membuat Beef Burger) tumis bawang bombay dan bawang putih dengan dengan minyak zaitun. Tumis hingga harum. Kemudian campur dengan daging cincang dalam mangkuk | 2
    



Masukkan telur dan semua bumbu, aduk aduk hingga merata. Bagi menjadi 4 bulatan. Pipih kan, kemudian panggang di teflon hingga matang di kedua sisi. | 3
    



Siapkan sayuran pelengkap di dalam mangkuk saji, potong potong beef burger yang telah matang. Masukkan kedalam mangkuk saji. Masukkan juga scrambled eggs. | 4
    



Kemudian dressing dengan Italian salad dressing, lemon juice dan oregano. Campur rata | 5
    



Salad siap disajikan. Tambahkan roti gandum yang telah di panggang sebagai karbohidrat."
Snack Idea - Salad (Eat Clean Series),https://cookpad.com/id/resep/1339567-snack-idea-salad-eat-clean-series,1 kuntum daun lettuce; 1 buah bawang bombay; 1 buah tomat; 1 butir telur rebus; secukupnya italian salad dressing (fat free); secukupnya minyak zaitun; sedikit garam dan lada (optional),"1
    



Campur semua bahan salad dalam mangkuk. Campurkan italian salad dressing dan sedikit olive oil | 2
    



Aduk aduk hingga tercampur rata. Jika sudah cukup rasa dari italian dressing tidak perlu di tambahkan garam dan lada."
Sayur sop simple (for diet/clean eat),https://cookpad.com/id/resep/6121968-sayur-sop-simple-for-dietclean-eat,"Bahan:; 1/4 sayur kol; 1 wortel; 1 Brokoli aku pake yg kecil ukurannya; Bakso sapi; sedikit Daun bawang ( aja buat penyedap); secukupnya Air (); 2 siung bawang merah di cincang halus; 1 bawang putih di cincang halus; 1 sdt lada bubuk(no salt, no sugar); Minyak wijen sedikit banget buat numis bawang","1
    



Cincang halus bawang merah dan bawang putih | 2
    



Potong sayur mayurnya menjadi ukuran sesuai dengan yg kamu suka dan potong juga baso sapi | 3
    



Panaskan wajan dengan api kecil dan beri sedikit minyak wijen setelah panas masukan bawang merah dan putih yang telah di cincang halus aduk hingga wangi dan sedikit berubah warna | 4
    



Setelah berubah warna masukan air dan tunggu hingga mendidih | 5
    



Lalu selanjutnya masukan wortel,brokoli, dan baso terlebih dahulu dan tunggu hingga teksturnya tidak lagi keras | 6
    



Setelah itu masukan kol, lada dan daun bawang setelah itu aduk hingga rata dan tunggu hingga mendidih dan siap di sajikan"
Sambel Terong (Eat Clean Version),https://cookpad.com/id/resep/16791205-sambel-terong-eat-clean-version,"2 buah terong ukuran sedang, potong-potong sesuai selera, rendam dalam air untuk mencegah browning; 2 sdm bumbu merah (bisa diganti 4 buah bawang merah, 2 buah bawang putih, dan 1 buah cabai keriting yang dihaluskan); 7 buah cabai rawit, iris-iris tipis; 1/2 sdt garam; 1 sdm gula; 3 sdm minyak sayur","1
    



Panaskan minyak di pan anti lengket. Tiriskan terong, lalu masukkan ke dalam pan. Masak hingga terong matang dan lembut. | 2
    



Sisihkan terong ke bagian tepi pan. Masukkan bumbu merah, tumis hingga harum. Lalu masukkan cabai, tumis hingga cabai layu. | 3
    



Tambahkan garam dan gula, aduk rata. Campur terong ke dalam sambal. | 4
    



Aduk rata, tes rasa. Sajikan dengan karbohidrat dan protein pilihan."
Banana greek yoghurt on bread (buat diet eat clean),https://cookpad.com/id/resep/2969385-banana-greek-yoghurt-on-bread-buat-diet-eat-clean,"bahan roti gandum untuk 1loyang; 330 g tepung gandum utuh(aq setengahnya pakai tepung pro tinggi); 2 sdt ragi; 1 butir telur(harusnya gak pakai); 6 sdm madu; 220 ml air hangat(bisa ditambah kurangi tergantung tepungnya); 6 sdm minyak zaitun; 50 ml susu; 1/2 sdt gram garam halus; dinner menu; 40 gram roti gandum; 1 sdm almond butter (tanpa gula,aq skip karna belom buat); 1 buah pisang; 75 gram greek yogurt,plain low fat; secukupnya cinnamon powder(opsional)","1
    



Carbut roti : campur tepung+ragi campur rata | 2
    



Ditempat lain campur air hangat,susu,madu,minyak zaitun, garam aduk rata | 3
    



Lalu bikin lubang dalam mangkok beriisi tepung dan ragi,masukkan bahan cairan kedalam lubang,biarkan msresap | 4
    



Mixer adonan sampai adonan halus dan tidak putus saat ditarik,(permukaan tidak bisa bisa lembit karna penggunaan tepung gandum yang kasar) | 5
    



Bentuk bola lqlu Diamkan sampai adonan mengembang 2x | 6
    



Sisi lain siapkan loyang loaf,semir dengan margarin sisinya | 7
    



Kempiskan adonan,lalu uleni lagi ±15menit lalu lebarkan adonan dengam tangan lalu tekan dan bentuk sperti gulungan kain,usahakan semua sisi sama,letakkan dalam loyang loaf,diamkan kurang lebih 15-30menit sampai adonan mengembang | 8
    



Oven dalam panas 200 selama ±20menit | 9
    



Angkat roti dan iris sesuai selera | 10
    



Cara buat banana greek yogurt on bread | 11
    



Oles roti dengan almond butter,lalu oles dengan greek yogurt,tata pisang diatasnya,terakhir tabur cinnamon powder diatasnya | 12
    



Siap dihidangkan"
Hucap atau tahu kecap,https://cookpad.com/id/resep/24715254-hucap-atau-tahu-kecap,5 bh tahu kuning; 3 sdm kecap manis; 4 sdm margarin; 100 ml air; Bahan lontong :; 250 gr beras; 1/4 sdt garam; 5 Bks plastik; 500 ml air untuk merebus; Bahan sambal kacang :; 100 gr kacang tanah; 4 bh cabe merah kriting; 2 bh cabe rawit; 5 bh bawang merah; 2 bh bawang putih; 2 sdm gula merah; 1/2 sdt gula pasir; 1/2 sdt kaldu bubuk; Sejumput garam; 3 sdm margarin,"1
    



Campur beras dengan garam aduk rata 
masukkan dalam plastik, rekatkan dan tusuk bagian plastiknya. rebus dalam air mendidih selama 5.30.7 setelah padat angakta tiriskan. | 2
    



Panaskan margarin, goreng tahu sebentar angkat goreng kacang tanah, cabe dan bawang haluskan. panaskan minyak goreng,masak bumbu kacang tambahkan garam, gula pasir, gula merah, kaldu bubuk aduk rata. | 3
    



Tambahkan kecap dan air aduk rata masak sampai bubuk matang, koreksi rasa. Tata lontong, tahu goreng, tuang bumbu kacang, kecap manis terkahir bawang goreng. | 4
    



Sajikan"
Kering Tempe Kentang Garing (Eat Clean Version),https://cookpad.com/id/resep/16532395-kering-tempe-kentang-garing-eat-clean-version,"1 blok tempe (seharga 5 ribu); 1/2 kg kentang; 6 butir bawang merah; 4 buah bawang putih; 3 buah cabai keriting (jika suka pedas, bisa ditambah cabai rawit); 1/2 sdt garam; 1/2 sdm gula; 4 sdm kecap manis; 1 sdm margarin; Bumbu tempe; 2 buah bawang putih; 1 sdt garam; 200 ml air","1
    



Iris tempe berbentuk persegi tipis-tipis. | 2
    



Haluskan 2 buah bawang putih. Tambahkan 1 sdt garam dan 200 ml air. Campur rata. Diamkan selama 10 menit. | 3
    



Sembari menunggu, bersihkan kentang, kupas. Sisihkan kulitnya untuk membuat chips kulit kentang. (Resep akan diupload setelah resep ini.) | 4
    



Iris tipis kentang seukuran dengan tempe tadi. | 5
    



Goreng tempe dengan air fryer menggunakan suhu 170° selama 10 menit (jangan lupa ditambah waktu untuk memanaskan air fryer. Saya:3-5 menit. Sesuaikan air fryer masing-masing), balik, goreng kembali selama 10 menit. Sisihkan. | 6
    



Goreng kentang dengan air fryer menggunakan suhu 200° selama 15 menit, balik, goreng kembali selama 5 menit. Sisihkan. | 7
    



Selama menunggu tempe dan kentang matang, siapkan bumbu. Iris tipis bawang merah, bawang putih, dan cabai merah keriting. | 8
    



Panaskan margarin, tumis bawang merah, bawang putih, dan cabai hingga harum. | 9
    



Kecilkan api. Masukkan kecap, garam, dan gula. Aduk rata hingga gula larut. | 10
    



Masukkan tempe dan kentang, masak cepat hingga tercampur rata dengan api sedang cenderung besar. Angkat, sajikan. | 11
    



Tips: untuk mencegah kentang browning/berubah warna selama menunggu giliran goreng, rendam kentang di wadah berisi air."
Menu diet / clean eating,https://cookpad.com/id/resep/695245-menu-diet-clean-eating,"100 gram pasta fussili 202 merk la fonte; 100 gram dada ayam tanpa kulit, fillet (potong sebesar 2ruas jari); bumbu:; 7 bh cabai rawit (bisa skip); 2 bh cabai merah; 6 siung bawang putih; 4 siung bawang merah; 75 ml susu full cream merk green field; taburan:; secukupnya oregano; remah cabai secukupnya (bisa skip); sayur:; 2 buah wortel; 200 gram bunga kol","1
    



Rebus pasta fussili dengan air kaldu ayam, bisa dengan air biasa -+ 8 menit al dente, sampai kenyal, angkat tiriskan. (kebetulan ada sisa kaldu ayam kemarin) | 2
    



Rebus sayur (wortel dan bunga kol hingga matang) tiriskan. (sisihkan) | 3
    



Haluskan bahan bumbu, ambil 1sdm bumbu balado utk melumuri ayam, diamkan sebentar lalu goreng tanpa minyak  pada wajan anti lengket hingga matang, sisihkan. | 4
    



Tuangkan susu ke dalam wajan anti lengket yg sudah panas, biarkan mendidih, masukkan sisa bumbu balado, aduk samapai tercampur. Kemudian masukkan pasta fussili, aduk hingga susu mengental dan pasta menjadi kering tanpa kuah. | 5
    



Hidangkan pasta, ayam, dan sayur. Taburi remah cabai, dan oregano. Masakan siap untuk disantap. 
Sehat kan??! 😊 #noSALT #noSUGAR"
(Eat Clean Menu) Pepes Tahu & Tempe Teriyaki,https://cookpad.com/id/resep/8779987-eat-clean-menu-pepes-tahu-tempe-teriyaki,2 Buah Tahu; 2 Bawang Putih; 2 Bawang Merah; 2 Cabe Merah; 2 Batang Seledri; 2 Lembar Daun Salam; Secukupnya Garam; Secukupnya Merica; Tempe Teriyaki; 1 Bawang Putih; 1 Sachet Saus Teriyaki; Secukupnya Tempe; 1/2 Sdm Olive oil,"1
    



Hancurkan 2buah Tahu dicampur dengan 2baput 2bamer 2 cabe merah yang sudah dihaluskan tambahkan garam dan merica secukupnya kemudian aduk dengan potongan seledri dan 1 lembar daun salam lalu kukus hingga matang | 2
    



Tumis 1 bawang putih dengan 1/2sdm olive oil kemudian tambahkan saus teriyaki lalu masukan tempe yang sudah dipotong kecil2, masukan sedikit air, oseng hingga kering | 3
    



Sajikan Tahu Kukus dan Tempe Teriyaki dengan Lalapan Kol, Kacang Panjang dan Tomat"
EAT CLEAN Day 4 (telur dadar pizza),https://cookpad.com/id/resep/14751131-eat-clean-day-4-telur-dadar-pizza,"4 putih telur; 1 kuning telur; 1 sdm tepung beras; 2 batang daun bawang, cincang; 2 lembar daun jeruk, cincang; 1 buah wortel, cincang; 1 buah tomat, iris tipis; Lada; Garam; Bawang putih bubuk","1
    



Campur semua bahan dan bumbu,aduk hingga rata | 2
    



Goreng gunakan teflon anti lengket agar tidak menggunakan minyak | 3
    



Balik telur hingga matang merata | 4
    



Sajikan dengan 3sdm nasi ♡"
Diet/clean food Orek telur tahu kuning,https://cookpad.com/id/resep/10114821-dietclean-food-orek-telur-tahu-kuning,2 potong tahu kuning/putih juga bisa; 2 butir telur; Bahan; 4 siung bawang merah; 2 siung bawang putih; 1 cabe besar; 5 cabe kecil (bisa skip); 1 ruas kunyit; 1/2 sdt merica bubuk; Gula; Garam; Penyedap,"1
    



Potong dadu tahu kuning | 2
    



Haluskan bumbu, sisihkan | 3
    



Orek2 dulu telur menggunakan teflon, tambahkan sedikit air agar tidak melekat, setelah matang, masukan bumbu halus, tumis brsama telur sampai harum, tambahkan air secukupnya, masukan potongan tahu, masak sampai meletup2, terahir, tambahkan gula, garam, penyedap | 4
    



Koreksi rasa, siap dihidangkam"
Ayam Sambel Matah Kecombrang.. Clean Eating,https://cookpad.com/id/resep/14099801-ayam-sambel-matah-kecombrang-clean-eating,1/2 ekor ayam di kukus; Bumbu sambel; 4 bawang merah; 3 bawang putih; 3 cabe merah keriting atau cabe setan; 3 lembar daun jeruk; 1 batang serai; 2 buah kecombrang; Garam himsalt; 2 lmbr Daun salam,"1
    



Rebus ayam beri sedikit garam himsalt dan daun salam setelah matang suwir2 | 2
    



Iris semua bumbu | 3
    



Tumis bumbu iris dgn 1sdm minyak zaitun lalu tambahkan air sedikit sampe layu lalu masukkan ayam suwir tambah garam himsalt secukupnya cek rasa lalu sajikan"
